city,city_ascii,lat,lng,country,population
Shima,Shima,34.3283,136.8306,Japan,46937
Takashima,Takashima,35.3528,136.0356,Japan,47124
Kurayoshi,Kurayoshi,35.43,133.8256,Japan,46943
Kariya,Kariya,34.7889,134.3724,Japan,46347
Hokota,Hokota,36.1586,140.5164,Japan,46415
Shimeo,Shimeo,33.5914,130.4797,Japan,45918
Hokuto,Hokuto,41.8242,140.6531,Japan,46054
Tateyama,Tateyama,34.9967,139.87,Japan,45300
Sugito,Sugito,36.0256,139.7367,Japan,44202
Inabe,Inabe,35.1158,136.5614,Japan,45454
Hagi,Hagi,34.4078,131.3989,Japan,45435
Masuda,Masuda,34.675,131.8428,Japan,45291
Himi,Himi,36.85,136.9833,Japan,44874
Shinshiro,Shinshiro,34.9,137.5,Japan,44713
Taketoyo,Taketoyo,34.8514,136.915,Japan,43113
Makinohara,Makinohara,34.74,138.2247,Japan,44111
Otofuke,Otofuke,42.9942,143.1981,Japan,44377
Kobayashi,Kobayashi,31.9967,130.9728,Japan,44034
Shimabara,Shimabara,32.7756,130.3381,Japan,43553
Ogimachi,Ogimachi,33.2506,130.2017,Japan,43617
Futtsu,Futtsu,35.3042,139.8569,Japan,43213
Obita,Obita,32.8253,129.875,Japan,41630
Yuzawa,Yuzawa,39.1644,140.4958,Japan,42887
Nakano,Nakano,36.7419,138.3694,Japan,42390
Shimo-tsuma,Shimo-tsuma,36.1844,139.9675,Japan,41964
Nanbei,Nanbei,35.3206,139.1,Japan,41814
Kitaibaraki,Kitaibaraki,36.8019,140.7511,Japan,42122
Itoigawa,Itoigawa,37.0333,137.85,Japan,41325
Ōzu,Ozu,33.5064,132.5447,Japan,41201
Kasumigaura,Kasumigaura,36.1519,140.2372,Japan,40833
Komono,Komono,35.02,136.5075,Japan,40487
Gishi,Gishi,26.1911,127.7286,Japan,39835
Sasayama,Sasayama,35.0758,135.2192,Japan,40708
Aizawa,Aizawa,35.5289,139.3217,Japan,39381
Sagae,Sagae,38.3811,140.2761,Japan,40185
Kurobeshin,Kurobeshin,36.8667,137.45,Japan,40231
Takikawa,Takikawa,43.5578,141.9106,Japan,39960
Mibu,Mibu,36.4272,139.8039,Japan,39454
Inashiki,Inashiki,35.9567,140.3239,Japan,39854
Hitachiomiya,Hitachiomiya,36.5517,140.4119,Japan,39904
Sakuragawa,Sakuragawa,36.3272,140.0906,Japan,39692
Gujō,Gujo,35.7486,136.9644,Japan,39582
Higashimatsushima,Higashimatsushima,38.4264,141.2106,Japan,39138
Nishiwaki,Nishiwaki,34.9933,134.9694,Japan,39147
Ibara,Ibara,34.5978,133.4639,Japan,39172
Misawa,Misawa,40.6833,141.3689,Japan,38877
Umi,Umi,33.5678,130.5111,Japan,37609
Katsuragi,Katsuragi,34.4892,135.7267,Japan,37004
Fuchūchō,Fuchucho,34.5683,133.2364,Japan,37874
Maibara,Maibara,35.3153,136.2839,Japan,37850
Yasugichō,Yasugicho,35.4317,133.2508,Japan,37581
Komatsushimachō,Komatsushimacho,34.0047,134.5906,Japan,36689
Kannan,Kannan,35.0894,138.9453,Japan,36908
Mizunami,Mizunami,35.3619,137.2544,Japan,37164
Tsubata,Tsubata,36.6686,136.7283,Japan,36774
Kanada,Kanada,33.7761,130.9806,Japan,36280
Morohongō,Morohongo,35.9417,139.3161,Japan,35877
Atami,Atami,35.0961,139.0717,Japan,36089
Usuki,Usuki,33.1258,131.8047,Japan,36536
